pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_ADIPOGENESIS	2.101281781886951e-4	4.4630105684090267e-4	-0.6518347878677094	-2.4666635068124285	0	197	
HALLMARK_APICAL_JUNCTION	2.1110407430863416e-4	4.4630105684090267e-4	-0.4501360171255523	-1.7031290148842564	0	198	
HALLMARK_COAGULATION	2.1331058020477816e-4	4.4630105684090267e-4	-0.5582417266824752	-1.995616426118342	0	125	
HALLMARK_COMPLEMENT	2.11954217888936e-4	4.4630105684090267e-4	-0.4695598692948329	-1.7707803324873403	0	194	
HALLMARK_DNA_REPAIR	1.884303749764462e-4	4.4630105684090267e-4	0.4708557674039601	1.7302522095646313	0	149	
HALLMARK_E2F_TARGETS	1.9007793195210037e-4	4.4630105684090267e-4	0.7358012898010262	2.79724370763858	0	200	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.109259649862898e-4	4.4630105684090267e-4	-0.596494046732523	-2.2597044967630464	0	200	
HALLMARK_ESTROGEN_RESPONSE_EARLY	1.897893338394382e-4	4.4630105684090267e-4	0.5182645367774296	1.9699163915141784	0	199	
HALLMARK_ESTROGEN_RESPONSE_LATE	1.899335232668566e-4	4.4630105684090267e-4	0.5085340672674892	1.9319611774155314	0	198	
HALLMARK_FATTY_ACID_METABOLISM	2.1358393848782572e-4	4.4630105684090267e-4	-0.46768610729014937	-1.7163516424170204	0	154	
HALLMARK_G2M_CHECKPOINT	1.9007793195210037e-4	4.4630105684090267e-4	0.668751237688394	2.542344268117867	0	200	
HALLMARK_GLYCOLYSIS	1.905850962454736e-4	4.4630105684090267e-4	0.4780042649793028	1.814310376333219	0	196	
HALLMARK_KRAS_SIGNALING_UP	2.11954217888936e-4	4.4630105684090267e-4	-0.514065327932782	-1.9386170578931168	0	194	
HALLMARK_MITOTIC_SPINDLE	1.899335232668566e-4	4.4630105684090267e-4	0.47474418554970893	1.8035907419420776	0	198	
HALLMARK_MTORC1_SIGNALING	1.9007793195210037e-4	4.4630105684090267e-4	0.6092592170356852	2.3161776620896344	0	200	
HALLMARK_MYC_TARGETS_V1	1.9007793195210037e-4	4.4630105684090267e-4	0.6515604079247896	2.476991106806704	0	200	
HALLMARK_MYC_TARGETS_V2	1.870207593042828e-4	4.4630105684090267e-4	0.5892458999987719	1.86780767396151	0	58	
HALLMARK_MYOGENESIS	2.121790791427965e-4	4.4630105684090267e-4	-0.6164781034799285	-2.3227990351086483	0	192	
HALLMARK_PROTEIN_SECRETION	1.884303749764462e-4	4.4630105684090267e-4	0.5140207121805961	1.7727670019772626	0	96	
HALLMARK_SPERMATOGENESIS	1.8867924528301886e-4	4.4630105684090267e-4	0.4630536443377884	1.650144852496158	0	119	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.101281781886951e-4	4.4630105684090267e-4	-0.5301276069548557	-2.0061010034566205	0	197	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.8960940462646946e-4	4.4630105684090267e-4	0.5474768875328773	1.9340126620382927	0	113	
HALLMARK_UV_RESPONSE_DN	2.1422450728363326e-4	4.4630105684090267e-4	-0.6126531585949462	-2.2266697903903077	0	143	
HALLMARK_XENOBIOTIC_METABOLISM	2.1043771043771043e-4	4.4630105684090267e-4	-0.4453321325140968	-1.6744944096169745	0	186	
HALLMARK_BILE_ACID_METABOLISM	6.382978723404255e-4	0.001182033096926714	-0.48322409733753124	-1.6914323708061376	2	107	
HALLMARK_HYPOXIA	6.350550381033022e-4	0.001182033096926714	-0.4287789245728062	-1.6186984682530148	2	195	
HALLMARK_IL2_STAT5_SIGNALING	6.333122229259025e-4	0.001182033096926714	-0.4133180996111981	-1.5638252018129686	2	198	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0022774720060732587	0.00406691429655939	0.3863176554518575	1.4683881064637856	11	199	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.002444528018051899	0.004214703479399826	0.4452214798875176	1.5562672487982652	12	104	
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0036535568450462067	0.006089261408410345	-0.47592062986531714	-1.5951666431161888	16	81	
HALLMARK_INFLAMMATORY_RESPONSE	0.008615255305736499	0.013895573073768546	-0.37015821878263727	-1.4007472246220891	40	197	
HALLMARK_ANGIOGENESIS	0.009511456982274102	0.014861651534803285	-0.5631432026269204	-1.6113250117458322	43	34	
HALLMARK_APOPTOSIS	0.04823629409264769	0.07262943829023988	-0.34782900866911126	-1.2818074479597368	226	159	
HALLMARK_TGF_BETA_SIGNALING	0.04938801803736311	0.07262943829023988	-0.4443936122057148	-1.3924266874023028	229	54	
HALLMARK_ANDROGEN_RESPONSE	0.055159474671669796	0.07879924953095685	0.36914058340804495	1.2857056870120338	293	101	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.07861296575489984	0.1091846746595831	-0.4508176823263317	-1.3480405151876993	364	42	
HALLMARK_UV_RESPONSE_UP	0.14962406015037594	0.2021946758788864	0.31282025875823033	1.154019599461544	795	154	
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.16016581872997926	0.2107444983289201	0.3379287729914471	1.1681487171201896	849	97	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.17418655097613883	0.22331609099504982	-0.35569511755615596	-1.172542939058109	802	74	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.20353600689952567	0.25442000862440706	-0.3856918941505121	-1.1757347808527405	943	47	
HALLMARK_NOTCH_SIGNALING	0.21545768566493956	0.2627532752011458	-0.4167319786249091	-1.1809007328427905	997	32	
HALLMARK_HEDGEHOG_SIGNALING	0.23040277176266782	0.27428901400317596	-0.40474614819682253	-1.165347971594895	1063	35	
HALLMARK_HEME_METABOLISM	0.2888094236432478	0.33582491121307884	-0.28212258087081843	-1.0612474195025932	1372	187	
HALLMARK_P53_PATHWAY	0.31755757447707583	0.3608608800875862	-0.27688705653106704	-1.0479951946952866	1502	199	
HALLMARK_KRAS_SIGNALING_DN	0.35670795716985093	0.39634217463316773	-0.2761561011216455	-1.0324696852188042	1698	178	
HALLMARK_PEROXISOME	0.4241711229946524	0.4610555684724483	-0.2902395598424984	-1.0080698981587297	1982	102	
HALLMARK_APICAL_SURFACE	0.5051724137931034	0.5374174614820248	-0.32024122315367337	-0.9662099991276135	2343	44	
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5568925480261769	0.5800964041939344	-0.2543345991109077	-0.9622972140750157	2637	198	
HALLMARK_PANCREAS_BETA_CELLS	0.6869734283862605	0.7009932942716944	-0.3028840841326012	-0.8638735476674615	3179	33	
HALLMARK_ALLOGRAFT_REJECTION	0.7357930449533503	0.7357930449533503	-0.23998325330692497	-0.9046049191526503	3469	193	
